radius_m,temperature_kelvin,sample_depth_m,t_obs_s,regime,top_to_bottom_ratio,bottom_mass_fraction,used_homogeneous_short_circuit,used_equilibrated_short_circuit,used_method_c_fallback
5e-09,283.15,0.01,3600.0,homogeneous,0.9675657012372146,0.05078695328770521,True,False,False
5e-09,283.15,0.01,14400.0,homogeneous,0.9675657012372146,0.05078695328770521,True,False,False
5e-09,283.15,0.01,86400.0,homogeneous,0.9675657012372146,0.05078695328770521,True,False,False
5e-09,283.15,0.01,604800.0,homogeneous,0.9675657012372146,0.05078695328770521,True,False,False
5e-09,288.15,0.0001,60.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0001,600.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0001,3600.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0001,14400.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0001,86400.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0001,604800.0,homogeneous,0.9996759768848911,0.05000769717016949,True,False,False
5e-09,288.15,0.0005,60.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.0005,600.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.0005,3600.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.0005,14400.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.0005,86400.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.0005,604800.0,homogeneous,0.9983809339941069,0.05003849333349491,True,False,False
5e-09,288.15,0.001,60.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.001,600.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.001,3600.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.001,14400.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.001,86400.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.001,604800.0,homogeneous,0.9967644893629451,0.05007700537216314,True,False,False
5e-09,288.15,0.002,60.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.002,600.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.002,3600.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.002,14400.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.002,86400.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.002,604800.0,homogeneous,0.9935394472549727,0.050154085555341815,True,False,False
5e-09,288.15,0.01,60.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,288.15,0.01,600.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,288.15,0.01,3600.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,288.15,0.01,14400.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,288.15,0.01,86400.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,288.15,0.01,604800.0,homogeneous,0.9681119358385069,0.05077341784354192,True,False,False
5e-09,293.15,0.0001,60.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0001,600.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0001,3600.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0001,14400.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0001,86400.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0001,604800.0,homogeneous,0.9996813889661814,0.050007568579528316,True,False,False
5e-09,293.15,0.0005,60.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.0005,600.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.0005,3600.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.0005,14400.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.0005,86400.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.0005,604800.0,homogeneous,0.998407959637436,0.05003785013238181,True,False,False
5e-09,293.15,0.001,60.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.001,600.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.001,3600.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.001,14400.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.001,86400.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.001,604800.0,homogeneous,0.996818453867388,0.05007571835024026,True,False,False
5e-09,293.15,0.002,60.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.002,600.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.002,3600.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.002,14400.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.002,86400.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.002,604800.0,homogeneous,0.9936470299705699,0.05015150903318753,True,False,False
5e-09,293.15,0.01,60.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,293.15,0.01,600.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,293.15,0.01,3600.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,293.15,0.01,14400.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,293.15,0.01,86400.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,293.15,0.01,604800.0,homogeneous,0.9686361961959878,0.05076043621853004,True,False,False
5e-09,298.15,0.0001,60.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0001,600.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0001,3600.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0001,14400.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0001,86400.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0001,604800.0,homogeneous,0.9996865866452761,0.05000744508391897,True,False,False
5e-09,298.15,0.0005,60.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.0005,600.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.0005,3600.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.0005,14400.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.0005,86400.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.0005,604800.0,homogeneous,0.9984339151978784,0.05003723242018116,True,False,False
5e-09,298.15,0.001,60.0,homogeneous,0.9968702830173642,0.05007448234052045,True,False,False
5e-09,298.15,0.001,600.0,homogeneous,0.9968702830173642,0.05007448234052045,True,False,False
5e-09,298.15,0.001,3600.0,homogeneous,0.9968702830173642,0.05007448234052045,True,False,False
